date	account	category	amount	currency	converted amount	currency	description
05.07.2023	Наличные	Сбережения	10000	UAH	10000	UAH	Снято с карточки
05.07.2023	Наличные	Еда	-120	UAH	-120	UAH	
05.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
05.07.2023	Наличные	Жилье	-1891	UAH	-1891	UAH	Химия бассейн нова пошта
05.07.2023	Наличные	Счета	-7000	UAH	-7000	UAH	Положено в тумбочку
05.07.2023	Наличные	Здоровье	-258	UAH	-258	UAH	Аптека
05.07.2023	Наличные	Еда	-341	UAH	-341	UAH	
05.07.2023	Наличные	Еда	-137	UAH	-137	UAH	
05.07.2023	Наличные	Еда	-210	UAH	-210	UAH	Фрукты
05.07.2023	Наличные	Еда	-105	UAH	-105	UAH	
05.07.2023	Наличные	Жилье	-18	UAH	-18	UAH	Мыльце унитаз
05.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
07.07.2023	Наличные	Сбережения	4000	UAH	4000	UAH	Взято в тумбочке
07.07.2023	Наличные	Еда	-434	UAH	-434	UAH	Рыба
07.07.2023	Наличные	Еда	-94	UAH	-94	UAH	Помидоры огурцы
07.07.2023	Наличные	Еда	-43	UAH	-43	UAH	Молоко
07.07.2023	Наличные	Еда	-178	UAH	-178	UAH	Вино
07.07.2023	Наличные	Еда	-52	UAH	-52	UAH	Йогурт
07.07.2023	Наличные	Одежда	-100	UAH	-100	UAH	Секонд
07.07.2023	Наличные	Здоровье	-330	UAH	-330	UAH	Аптека мне
08.07.2023	Наличные	Здоровье	-860	UAH	-860	UAH	Иришатор ремонт
08.07.2023	Наличные	Еда	-66	UAH	-66	UAH	
08.07.2023	Наличные	Еда	-65	UAH	-65	UAH	
08.07.2023	Наличные	Еда	-10	UAH	-10	UAH	
08.07.2023	Наличные	Еда	-50	UAH	-50	UAH	
08.07.2023	Наличные	Еда	-118	UAH	-118	UAH	Конфеты
08.07.2023	Наличные	Жилье	-600	UAH	-600	UAH	Уборка Оксана
08.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
10.07.2023	Наличные	Здоровье	-53	UAH	-53	UAH	Аптека
10.07.2023	Наличные	Еда	-65	UAH	-65	UAH	
10.07.2023	Наличные	Еда	-51	UAH	-51	UAH	
10.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
10.07.2023	Наличные	Еда	-11	UAH	-11	UAH	
11.07.2023	Наличные	Здоровье	-45	UAH	-45	UAH	Копии 
11.07.2023	Наличные	Еда	-596	UAH	-596	UAH	Молочка
11.07.2023	Наличные	Здоровье	-300	UAH	-300	UAH	Аптека мне
11.07.2023	Наличные	Еда	-150	UAH	-150	UAH	
11.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
12.07.2023	Наличные	Еда	-61	UAH	-61	UAH	
12.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
12.07.2023	Наличные	Еда	-80	UAH	-80	UAH	
12.07.2023	Наличные	Еда	-65	UAH	-65	UAH	
12.07.2023	Наличные	Еда	-80	UAH	-80	UAH	
12.07.2023	Наличные	Еда	-28	UAH	-28	UAH	
13.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
13.07.2023	Наличные	Еда	-505	UAH	-505	UAH	Печенье сухари
13.07.2023	Наличные	Одежда	-110	UAH	-110	UAH	Секонд мне
13.07.2023	Наличные	Еда	-46	UAH	-46	UAH	Сметана
14.07.2023	Наличные	Одежда	-46	UAH	-46	UAH	Секонд мне
14.07.2023	Наличные	Еда	-60	UAH	-60	UAH	Персик
14.07.2023	Наличные	Еда	-50	UAH	-50	UAH	Малина
14.07.2023	Наличные	Еда	-35	UAH	-35	UAH	Черника
14.07.2023	Наличные	Еда	-46	UAH	-46	UAH	
14.07.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
14.07.2023	Наличные	Развлечения	-225	UAH	-225	UAH	Сигареты
14.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
15.07.2023	Наличные	Еда	-84	UAH	-84	UAH	
15.07.2023	Наличные	Машина	-200	UAH	-200	UAH	Филтр салона машины
17.07.2023	Наличные	Еда	-113	UAH	-113	UAH	Фарш грудка
17.07.2023	Наличные	Еда	-65	UAH	-65	UAH	Ягоды
17.07.2023	Наличные	Здоровье	-110	UAH	-110	UAH	Аптека мне
19.07.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
19.07.2023	Наличные	Еда	-22	UAH	-22	UAH	Бананы
19.07.2023	Наличные	Еда	-185	UAH	-185	UAH	Икра красная
19.07.2023	Наличные	Еда	-523	UAH	-523	UAH	Пиво
19.07.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
20.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
20.07.2023	Наличные	Жилье	-40	UAH	-40	UAH	Лейки душа
20.07.2023	Наличные	Еда	-60	UAH	-60	UAH	Персик
20.07.2023	Наличные	Еда	-26	UAH	-26	UAH	Йогурт
20.07.2023	Наличные	Еда	-550	UAH	-550	UAH	Молочка
20.07.2023	Наличные	Еда	-20	UAH	-20	UAH	Буряк
20.07.2023	Наличные	Еда	-25	UAH	-25	UAH	Малина
20.07.2023	Наличные	Одежда	-150	UAH	-150	UAH	Одежда мне
20.07.2023	Наличные	Здоровье	-79	UAH	-79	UAH	Аптека мне
20.07.2023	Наличные	Жилье	-3072	UAH	-3072	UAH	Новая почта  химия бассейн
20.07.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято у мамы в долг
20.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
22.07.2023	Наличные	Еда	-64	UAH	-64	UAH	Мясо
22.07.2023	Наличные	Еда	-53	UAH	-53	UAH	
22.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
22.07.2023	Наличные	Еда	-460	UAH	-460	UAH	Рыба
22.07.2023	Наличные	Здоровье	-328	UAH	-328	UAH	Аптека мне
22.07.2023	Наличные	Сбережения	4000	UAH	4000	UAH	Взято в тумбочке
22.07.2023	Наличные	Счета	-2000	UAH	-2000	UAH	Долг  отдала маме за химию басейн
22.07.2023	Наличные	Жилье	-600	UAH	-600	UAH	Уборка Оксана
22.07.2023	Наличные	Еда	-164	UAH	-164	UAH	
23.07.2023	Наличные	Еда	-57	UAH	-57	UAH	
24.07.2023	Наличные	Еда	-28	UAH	-28	UAH	
24.07.2023	Наличные	Еда	-65	UAH	-65	UAH	
24.07.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
24.07.2023	Наличные	Еда	-109	UAH	-109	UAH	
25.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взэзято в тумбочке
25.07.2023	Наличные	Подарки	-200	UAH	-200	UAH	Работа ДР
25.07.2023	Наличные	Еда	-128	UAH	-128	UAH	
25.07.2023	Наличные	Еда	-569	UAH	-569	UAH	 Икра
25.07.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
25.07.2023	Наличные	Еда	-87	UAH	-87	UAH	
26.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
26.07.2023	Наличные	Гигиена	-332	UAH	-332	UAH	Крема мне
26.07.2023	Наличные	Еда	-260	UAH	-260	UAH	Молочка
26.07.2023	Наличные	Еда	-120	UAH	-120	UAH	Персик
26.07.2023	Наличные	Еда	-80	UAH	-80	UAH	Абрикос
26.07.2023	Наличные	Еда	-98	UAH	-98	UAH	
26.07.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
27.07.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
27.07.2023	Наличные	Здоровье	-900	UAH	-900	UAH	Аптека руслан
27.07.2023	Наличные	Еда	-102	UAH	-102	UAH	
28.07.2023	Наличные	Сбережения	10000	UAH	10000	UAH	Снято с карточки
28.07.2023	Наличные	Еда	-376	UAH	-376	UAH	Рыба
28.07.2023	Наличные	Еда	-15	UAH	-15	UAH	
28.07.2023	Наличные	Машина	-1977	UAH	-1977	UAH	Бензин машина
28.07.2023	Наличные	Развлечения	-225	UAH	-225	UAH	Сигареты
28.07.2023	Наличные	Еда	-118	UAH	-118	UAH	
28.07.2023	Наличные	Счета	-6000	UAH	-6000	UAH	Положила в тумбочку
29.07.2023	Наличные	Развлечения	-225	UAH	-225	UAH	Сигареты
29.07.2023	Наличные	Здоровье	-224	UAH	-224	UAH	Аптека масла
29.07.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Снято с карточки
29.07.2023	Наличные	Сбережения	50	UAH	50	UAH	Взято у Вити
29.07.2023	Наличные	Жилье	-650	UAH	-650	UAH	Уборка Оксана
29.07.2023	Наличные	Здоровье	-530	UAH	-530	UAH	Фармапрост аптека
29.07.2023	Наличные	Здоровье	-526	UAH	-526	UAH	Фармапрост аптека
29.07.2023	Наличные	Здоровье	-710	UAH	-710	UAH	Протекон аптека
29.07.2023	Наличные	Здоровье	-224	UAH	-224	UAH	Розмарин аптека
29.07.2023	Наличные	Здоровье	-92	UAH	-92	UAH	Эвкалипт
29.07.2023	Наличные	Еда	-88	UAH	-88	UAH	
31.07.2023	Наличные	Еда	-45	UAH	-45	UAH	
31.07.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
31.07.2023	Наличные	Еда	-331	UAH	-331	UAH	
01.08.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
01.08.2023	Наличные	Еда	-207	UAH	-207	UAH	
01.08.2023	Наличные	Еда	-200	UAH	-200	UAH	
02.08.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
02.08.2023	Наличные	Еда	-182	UAH	-182	UAH	Колбаса
02.08.2023	Наличные	Еда	-105	UAH	-105	UAH	Масло гайсин
02.08.2023	Наличные	Еда	-290	UAH	-290	UAH	Сыр
02.08.2023	Наличные	Еда	-90	UAH	-90	UAH	
02.08.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
02.08.2023	Наличные	Жилье	-89	UAH	-89	UAH	Дом 
02.08.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
02.08.2023	Наличные	Еда	-70	UAH	-70	UAH	
02.08.2023	Наличные	Еда	-21	UAH	-21	UAH	
02.08.2023	Наличные	Еда	-20	UAH	-20	UAH	
03.08.2023	Наличные	Еда	-37	UAH	-37	UAH	
03.08.2023	Наличные	Еда	-135	UAH	-135	UAH	
03.08.2023	Наличные	Еда	-39	UAH	-39	UAH	
03.08.2023	Наличные	Еда	-30	UAH	-30	UAH	
03.08.2023	Наличные	Жилье	-70	UAH	-70	UAH	Осежитель
04.08.2023	Наличные	Еда	-440	UAH	-440	UAH	
04.08.2023	Наличные	Еда	-80	UAH	-80	UAH	
04.08.2023	Наличные	Еда	-78	UAH	-78	UAH	
04.08.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
05.08.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
05.08.2023	Наличные	Еда	-175	UAH	-175	UAH	
05.08.2023	Наличные	Развлечения	-225	UAH	-225	UAH	Сигареты
05.08.2023	Наличные	Жилье	-600	UAH	-600	UAH	Уборка Оксана
05.08.2023	Наличные	Еда	-263	UAH	-263	UAH	
06.08.2023	Наличные	Еда	-141	UAH	-141	UAH	
06.08.2023	Наличные	Еда	-77	UAH	-77	UAH	
06.08.2023	Наличные	Здоровье	-63	UAH	-63	UAH	Аптека мне
06.08.2023	Наличные	Сбережения	500	UAH	500	UAH	Взято у Вити
07.08.2023	Наличные	Еда	-50	UAH	-50	UAH	
07.08.2023	Наличные	Еда	-80	UAH	-80	UAH	
07.08.2023	Наличные	Еда	-60	UAH	-60	UAH	
07.08.2023	Наличные	Гигиена	-120	UAH	-120	UAH	Космо
07.08.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
08.08.2023	Наличные	Еда	-30	UAH	-30	UAH	
08.08.2023	Наличные	Еда	-120	UAH	-120	UAH	
08.08.2023	Наличные	Еда	-50	UAH	-50	UAH	
08.08.2023	Наличные	Гигиена	-36	UAH	-36	UAH	Космо
08.08.2023	Наличные	Еда	-122	UAH	-122	UAH	
08.08.2023	Наличные	Развлечения	-150	UAH	-150	UAH	Сигареты
08.08.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Дала мама
08.08.2023	Наличные	Машина	-1550	UAH	-1550	UAH	Бензин машина
09.08.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
09.08.2023	Наличные	Здоровье	-34	UAH	-34	UAH	Аптека
09.08.2023	Наличные	Здоровье	-290	UAH	-290	UAH	Аптека мне
09.08.2023	Наличные	Еда	-77	UAH	-77	UAH	
10.08.2023	Наличные	Счета	-1000	UAH	-1000	UAH	Дала Вите
10.08.2023	Наличные	Развлечения	-75	UAH	-75	UAH	Сигареты
11.08.2023	Наличные	Сбережения	5000	UAH	5000	UAH	Дал Витя
